Date	Open	High	Low	Close	Volume	Market Cap
4/28/2018	4.3	4.9	4.3	4.83	130,961,000	1,665,910,000
4/27/2018	4.29	4.8	4.13	4.3	184,250,000	1,662,170,000
4/26/2018	3.73	4.3	3.59	4.29	80,946,100	1,442,560,000
4/25/2018	4.28	4.39	3.57	3.71	124,581,000	1,655,560,000
4/24/2018	3.84	4.34	3.82	4.3	187,057,000	1,486,690,000
4/23/2018	3.45	3.85	3.44	3.84	82,369,600	1,335,130,000
4/22/2018	3.45	3.53	3.35	3.45	35,982,800	1,337,070,000
4/21/2018	3.5	3.62	3.19	3.47	57,491,800	1,353,800,000
4/20/2018	3.3	3.56	3.13	3.5	70,875,200	1,276,480,000
4/19/2018	3.18	3.34	3.11	3.29	63,456,600	1,230,660,000
4/18/2018	2.79	3.22	2.79	3.18	61,234,200	1,080,440,000
4/17/2018	2.83	2.89	2.76	2.79	37,985,200	1,095,770,000
4/16/2018	2.76	2.84	2.64	2.83	80,271,500	1,068,230,000
4/15/2018	2.52	2.76	2.48	2.75	42,291,900	977,600,000
4/14/2018	2.47	2.59	2.46	2.51	25,272,700	955,984,000
4/13/2018	2.57	2.7	2.44	2.48	63,496,900	994,248,000
4/12/2018	2.23	2.58	2.21	2.56	103,899,000	862,098,000
4/11/2018	2.12	2.32	2.08	2.24	69,454,400	818,756,000
4/10/2018	2.01	2.15	1.95	2.11	45,542,800	778,666,000
4/9/2018	2.07	2.17	1.95	2.01	49,826,500	802,165,000
4/8/2018	2.05	2.1	2.03	2.07	38,454,700	792,851,000
4/7/2018	1.89	2.15	1.88	2.04	66,868,800	732,886,000
4/6/2018	1.96	1.98	1.83	1.89	31,609,000	757,199,000
4/5/2018	2.06	2.06	1.9	1.96	36,758,700	796,542,000
4/4/2018	2.31	2.33	2.04	2.06	35,026,400	895,132,000
4/3/2018	2.12	2.33	2.1	2.32	50,196,300	820,582,000
4/2/2018	2.06	2.17	2.02	2.12	40,586,500	797,280,000
4/1/2018	2.21	2.23	1.9	2.06	46,232,600	854,976,000
3/31/2018	2.28	2.38	2.18	2.21	48,282,500	881,826,000
3/30/2018	2.34	2.47	2.15	2.28	87,909,800	905,607,000
3/29/2018	2.85	2.87	2.32	2.33	83,604,100	1,101,450,000
3/28/2018	2.83	2.99	2.8	2.85	69,542,800	1,093,610,000
3/27/2018	3.05	3.08	2.75	2.84	100,465,000	1,179,270,000
3/26/2018	3.52	3.53	2.86	3.06	113,860,000	1,361,060,000
3/25/2018	3.56	3.68	3.39	3.51	112,771,000	1,378,000,000
3/24/2018	4.04	4.19	3.62	3.64	153,999,000	1,564,350,000
3/23/2018	3.59	4.22	3.08	4.06	598,299,000	1,387,790,000
3/22/2018	3.48	3.99	3.28	3.59	132,270,000	1,344,440,000
3/21/2018	2.67	3.7	2.62	3.47	235,402,000	1,031,500,000
3/20/2018	2.38	2.74	2.14	2.62	48,542,400	918,344,000
3/19/2018	2.09	2.35	1.97	2.35	39,146,200	806,369,000
3/18/2018	1.95	2.1	1.59	2.07	35,447,300	751,868,000
3/17/2018	2.25	2.25	1.89	1.96	25,180,000	869,145,000
3/16/2018	2.27	2.39	2.16	2.25	24,701,000	876,745,000
3/15/2018	2.38	2.43	2.16	2.27	31,307,700	918,183,000
3/14/2018	2.9	3.14	2.28	2.38	55,190,300	1,120,270,000
3/13/2018	2.62	2.94	2.59	2.88	37,901,500	1,013,500,000
3/12/2018	2.77	2.86	2.54	2.64	15,110,200	1,069,070,000
3/11/2018	2.47	2.82	2.37	2.78	9,918,750	954,506,000
3/10/2018	2.68	2.83	2.43	2.47	12,162,200	1,033,760,000
3/9/2018	2.59	2.73	2.2	2.72	19,856,200	997,345,000
3/8/2018	3	3.07	2.6	2.61	18,798,000	1,157,400,000
3/7/2018	3.41	3.47	2.68	3	33,020,700	1,317,660,000
3/6/2018	3.56	3.59	3.26	3.42	28,737,100	1,374,390,000
3/5/2018	3.64	3.67	3.54	3.59	16,088,900	1,405,150,000
3/4/2018	3.66	3.75	3.52	3.64	16,649,900	1,412,180,000
3/3/2018	3.71	3.88	3.61	3.66	17,486,200	1,432,210,000
3/2/2018	3.81	3.88	3.59	3.71	19,446,700	1,470,820,000
3/1/2018	3.55	3.86	3.5	3.81	20,427,300	1,369,150,000
2/28/2018	4.02	4.02	3.55	3.55	28,413,100	1,553,020,000
2/27/2018	4.03	4.1	3.89	4.03	23,394,200	1,554,800,000
2/26/2018	3.87	4.25	3.83	4	57,012,300	1,496,620,000
2/25/2018	3.82	3.91	3.64	3.87	20,438,700	1,477,030,000
2/24/2018	3.94	4.1	3.62	3.83	18,201,100	1,524,150,000
2/23/2018	3.76	4.2	3.64	3.95	29,152,600	1,451,450,000
2/22/2018	4	4.34	3.66	3.76	35,044,500	1,547,280,000
2/21/2018	4.19	4.57	3.89	4.02	49,737,300	1,615,600,000
2/20/2018	4.8	4.84	4.12	4.16	52,935,400	1,852,600,000
2/19/2018	4.69	4.94	4.68	4.81	35,274,700	1,810,200,000
2/18/2018	5.4	5.4	4.62	4.71	48,768,400	2,085,550,000
2/17/2018	4.89	5.78	4.82	5.39	97,824,900	1,888,860,000
2/16/2018	4.82	4.97	4.5	4.85	41,488,100	1,839,770,000
2/15/2018	4.44	4.88	4.31	4.86	57,393,200	1,692,880,000
2/14/2018	3.91	4.52	3.89	4.42	46,688,800	1,493,020,000
2/13/2018	4.25	4.32	3.86	3.94	35,776,400	1,619,740,000
2/12/2018	3.86	4.48	3.86	4.25	51,677,700	1,471,540,000
2/11/2018	4.04	4.15	3.42	3.8	55,951,900	1,542,150,000
2/10/2018	4.57	4.71	3.78	4.09	57,370,900	1,744,970,000
2/9/2018	4.35	4.58	4.1	4.57	10,375,600	1,657,680,000
2/8/2018	3.82	4.5	3.82	4.33	99,461,300	1,458,380,000
2/7/2018	4.38	4.84	3.74	3.81	90,748,200	1,672,260,000
2/6/2018	3.08	4.7	2.4	4.41	163,330,000	1,175,930,000
2/5/2018	4.27	4.35	2.58	3.08	83,113,100	1,630,110,000
2/4/2018	5.44	5.48	4.03	4.36	54,855,100	2,074,470,000
