Date	Open	High	Low	Close	Volume	Market Cap
2/18/2018	0.036536	0.037136	0.03299	0.033065	22,030	4,054,410
2/17/2018	0.048757	0.051593	0.03377	0.036442	13,933	6,657,060
2/16/2018	0.0327	0.049561	0.032266	0.048745	98,459	4,464,760
2/15/2018	0.038765	0.04746	0.034302	0.047409	79,543	5,292,870
2/14/2018	0.044745	0.06423	0.037115	0.038718	28,041	6,109,260
2/13/2018	0.04578	0.069336	0.034205	0.044873	114,851	6,250,600
2/12/2018	0.034258	0.046024	0.03189	0.045685	173,376	4,677,440
2/11/2018	0.034644	0.040033	0.028459	0.034023	196,211	3,830,210
2/10/2018	0.030655	0.042096	0.0269	0.034674	440,323	3,389,180
2/9/2018	0.029808	0.032154	0.027206	0.03123	18,655	3,295,500
2/8/2018	0.026645	0.030532	0.025965	0.029324	26,655	2,945,820
2/7/2018	0.028189	0.029427	0.025002	0.027354	12,340	3,116,490
2/6/2018	0.02605	0.028732	0.021436	0.028482	19,886	2,880,080
2/5/2018	0.032391	0.033128	0.025682	0.026019	14,959	3,581,120
2/4/2018	0.035284	0.03744	0.030719	0.032682	13,255	3,900,940
2/3/2018	0.035839	0.03868	0.032074	0.035256	30,605	3,960,170
2/2/2018	0.039245	0.039245	0.030353	0.035718	50,028	4,334,060
2/1/2018	0.041318	0.053726	0.036607	0.039286	76,720	4,560,350
1/31/2018	0.040622	0.044387	0.035006	0.041218	46,183	4,483,430
1/30/2018	0.038211	0.046587	0.029041	0.040524	51,391	4,217,350
1/29/2018	0.044424	0.045287	0.036105	0.039862	50,991	4,897,270
1/28/2018	0.047144	0.049642	0.041486	0.044732	42,926	5,195,910
1/27/2018	0.046435	0.048085	0.043768	0.046887	28,295	5,117,670
1/26/2018	0.047663	0.050158	0.043238	0.046037	10,324	5,249,960
1/25/2018	0.049277	0.050413	0.042188	0.04791	35,148	5,427,300
1/24/2018	0.046058	0.053908	0.044357	0.048509	41,197	5,069,540
1/23/2018	0.041245	0.060947	0.037198	0.045223	33,512	4,538,950
1/22/2018	0.045959	0.04721	0.03833	0.041403	19,183	5,055,640
1/21/2018	0.053584	0.053584	0.044419	0.045456	6,255	5,894,320
1/20/2018	0.048496	0.05687	0.048385	0.053466	48,704	5,333,230
1/19/2018	0.046574	0.050342	0.045007	0.048077	36,181	5,121,810
1/18/2018	0.046216	0.061863	0.038265	0.046891	24,426	5,082,310
1/17/2018	0.044175	0.047931	0.03609	0.046067	28,991	4,857,820
1/16/2018	0.055405	0.05627	0.039148	0.043856	21,245	6,091,760
1/15/2018	0.055529	0.060288	0.0555	0.055554	9,737	6,100,010
